,Interested_in,City,Disposition,Referer,Campaign,Disp
17582,",Trading Account",Bangalore,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17583,",Trading Account",Belgaum,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17584,",Credit Card,Loans,Trading Account",Bangalore,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,Customer Disconnected
17585,,Bangalore,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
17586,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17587,,Raichur,Not Contactable-Language Barrier,Savings Account customizable,Search_PAN_India_Core_Yes_Insta_Mobile_BMM_New_LP-google,NC
17588,",Trading Account",Ghaziabad,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,Customer Disconnected
17589,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17590,,East Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17591,"Business Loan,",Dehradun,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
17592,",Credit Card",Pali,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17593,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17594,,Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account customizable,PB_6pecent-aPB2,NC
17595,"Business Credit Cards,",Narsinghpur,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17596,,Jaipur,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17597,",Current Account",Agra,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17598,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17599,,Surat,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17600,",Trading Account",Pratapgarh,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17601,Saving Account,Bikaner,Not Contactable-Busy,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Competitors-facebook,NC
17602,,Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17603,",Trading Account",Mumbai,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17604,"Savings Account ,",Ahmedabad,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17605,"Business Loan, Savings Account ,",Bangalore,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17606,,Hyderabad,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17607,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17608,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17609,Saving Account,Surat,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17610,"Business Loan, Savings Account ,",Imphal,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17611,"POS Machine, Business Loan, Business Credit Cards, Savings Account ,",Gwalior,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
17612,,Durg Bhilai,Customer Disconnected,Current Account,YES_Bank_Current_Account_Core_BMM_Desktop,Customer Disconnected
17613,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17614,",Credit Card",Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Core_Yes_Insta_Mobile_Exact_New_LP-google,NC
17615,",Trading Account",Chittaurgarh,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account-facebook,Customer Disconnected
17616,,Chandigarh,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17617,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17618,"POS Machine, Business Loan, Business Credit Cards, Savings Account ,",Dholpur,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17619,"Business Loan,",Sangli,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17620,",Credit Card",Allahabad,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17621,",Credit Card",Lucknow,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17622,",Credit Card",Kaithal,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17623,",Credit Card",Mumbai,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17624,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17625,,Vadodara,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
17626,",Credit Card",Tiruppur,Not Contactable-Language Barrier,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Investment_Finance-facebook,NC
17627,",Loans",Siliguri,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17628,,Faridabad,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
17629,Saving Account,Noida,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17630,",Current Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17631,,Ghaziabad,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17632,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17633,",Current Account,Trading Account",Hyderabad,Not Contactable-Language Barrier,Savings Account-70 percent,Search_PAN_India_Core_Yes_Insta_Mobile_BMM_New_LP-google,NC
17634,,Madurai,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Core_Yes_Insta_Mobile_Exact_New_LP-google,NC
17635,Saving Account,Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17636,"Business Credit Cards,",Bokaro,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
17637,",Loans",Warangal,Not Contactable-Ringing No Response,Savings Account-6 percent,Yes_Bank_WC_Savings_Account-facebook,NC
17638,",Credit Card,Trading Account",Jodhpur,Not Contactable-Not reachable / Switched Off ,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,NC
17639,Saving Account,Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17640,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17641,Saving Account,Chandigarh,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17642,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17643,"Savings Account ,",Bareilly,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17644,",Loans",Nellore,Not Contactable-Language Barrier,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17645,"Business Loan,",Guwahati,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_Lookalike,NC
17646,Saving Account,Faridabad,Not Contactable-Busy,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,NC
17647,,Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17648,",Current Account",Mysore,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17649,",Current Account",Ahmadnagar,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17650,,New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17651,,New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17652,",Trading Account",Udupi,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17653,Saving Account,Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17654,Saving Account,Chandigarh,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17655,,Ambala,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17656,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17657,",Credit Card,Loans,Current Account,Trading Account",Kakinada,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17658,Saving Account,Mumbai,Not Contactable-Busy,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17659,",Trading Account",Pune,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17660,",Loans",Vijayawada,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Competitors-facebook,Customer Disconnected
17661,",Current Account",Gaya,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17662,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17663,"Savings Account ,",Ahmedabad,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
17664,",Trading Account",Shahjahanpur,Not Contactable-Not reachable / Switched Off ,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,NC
17665,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17666,,Bilaspur,Not Contactable-Busy,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,NC
17667,"Business Credit Cards, Savings Account ,",Ahmedabad,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
17668,",Loans",Ahmedabad,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
17669,"Savings Account ,",Hathras,Not Contactable-Ringing No Response,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17670,"Business Loan,",Tiruchirappalli,Not Contactable-Language Barrier,Current Account,Current_Account_Lookalike,NC
17671,"Savings Account ,",Mumbai,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
17672,Saving Account,Gurgaon,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17673,"Business Loan, Savings Account ,",Chennai,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
17674,Saving Account,Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17675,",Credit Card,Loans,Current Account,Trading Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17676,Saving Account,Mumbai Suburban,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17677,",Credit Card,Trading Account",Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17678,",Current Account",Alwar,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17679,",Loans",Alwar,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17680,",Credit Card,Loans,Current Account,Trading Account",Ajmer,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17681,,Kottayam,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Investment_Finance-facebook,Customer Disconnected
17682,,Chandigarh,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
17683,"Business Credit Cards,",Noida,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Core_BMM_Desktop,NC
17684,,Vijayawada,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17685,",Current Account",Agra,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17686,",Credit Card,Loans,Current Account,Trading Account",Tonk,Not Contactable-Busy,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17687,",Current Account",Bagalkote,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17688,,Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17689,Saving Account,Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17690,",Credit Card,Loans,Current Account,Trading Account",Kanchipuram,Not Contactable-Language Barrier,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17691,,Bangalore,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17692,,New Delhi,Customer Disconnected,Current Account,Current_Account_Lookalike,Customer Disconnected
17693,",Current Account",Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17694,"POS Machine, Business Credit Cards, Savings Account ,",Bhubhaneshwar,Not Contactable-Busy,Current Account,Current_Account_Lookalike,NC
17695,,Coimbatore,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17696,",Credit Card,Loans,Current Account,Trading Account",Patna,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17697,",Credit Card,Loans,Current Account,Trading Account",Indore,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB,Customer Disconnected
17698,,Gurgaon,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17699,",Loans",East Delhi,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,NC
17700,",Current Account",Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17701,",Trading Account",Mumbai,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17702,,Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17703,"Business Loan,",Bhopal,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17704,,Hyderabad,Not Contactable-Language Barrier,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17705,,New Delhi,Not Contactable-Ringing No Response,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17706,",Credit Card,Loans,Current Account,Trading Account",Warangal,Not Contactable-Wrong Number / Number does not exist,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Investment_Finance-facebook,NC
17707,"Savings Account ,",Madurai,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17708,,Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17709,"Business Loan, Business Credit Cards, Savings Account ,",Kaithal,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17710,"Business Credit Cards,",Shillong,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17711,Saving Account,East Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,NC
17712,",Credit Card,Loans,Current Account,Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17713,,Mumbai,Not Contactable-Busy,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17714,,Patiala,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17715,",Loans",Ajmer,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17716,"Business Loan, Business Credit Cards, Savings Account ,",Bangalore,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_Lookalike,NC
17717,"Business Loan,",Nashik,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_B2B,NC
17718,",Trading Account",Mumbai,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17719,",Loans",Surat,Not Contactable-Busy,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Investment_Finance-facebook,NC
17720,",Current Account",Ongole,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17721,,Srinagar,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17722,",Credit Card",Hyderabad,Not Contactable-Ringing No Response,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,NC
17723,",Credit Card",East Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17724,"Business Credit Cards, Savings Account ,",Guntur,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
17725,",Credit Card,Trading Account",Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17726,",Credit Card",Amreli,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17727,"Savings Account ,",Ahmedabad,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17728,"Business Credit Cards, Savings Account ,",Bangalore,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17729,",Credit Card",JhunJhunu,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17730,"Savings Account ,",Bangalore,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17731,",Credit Card",Jaipur,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17732,,Mumbai,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17733,,Hubli-Dharwad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17734,"Savings Account ,",Raipur,Not Contactable-Ringing No Response,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17735,,Gurgaon,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Payment_Wallet-facebook,Customer Disconnected
17736,,New Delhi,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17737,"Business Credit Cards,",Lucknow,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17738,,Aurangabad,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
17739,,Mysore,Not Contactable-Busy,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17740,",Trading Account",Agartala,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17741,",Credit Card,Loans,Current Account,Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17742,",Trading Account",Patna,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17743,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17744,",Loans,Trading Account",Tirupati,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,Customer Disconnected
17745,,Tonk,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17746,,Agra,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17747,",Credit Card",Koppal,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17748,,Bangalore,Customer Disconnected,Current Account,YES_Bank_Current_Account_Core_BMM_Desktop,Customer Disconnected
17749,,Ghaziabad,Not Contactable-Ringing No Response,Savings Account-6 percent,Yes_Bank_WC_Savings_Account-facebook,NC
17750,",Credit Card",Bhubhaneshwar,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,Customer Disconnected
17751,,Thane,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17752,",Trading Account",Panvel,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17753,,New Delhi,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17754,"Business Loan,",Vijayawada,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17755,",Credit Card",Jamshedpur,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,Search_PAN_India_Core_Yes_Insta_Mobile_Exact_New_LP-google,NC
17756,",Credit Card,Loans,Current Account,Trading Account",Nadiad,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17757,,Gurgaon,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17758,,Ahmadnagar,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17759,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17760,"Savings Account ,",Guwahati,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17761,Saving Account,Lucknow,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17762,,Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17763,Saving Account,Bhubhaneshwar,Not Contactable-Busy,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Competitors-facebook,NC
17764,",Credit Card,Loans,Current Account,Trading Account",Tirupati,Not Contactable-Language Barrier,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Investment_Finance-facebook,NC
17765,",Credit Card,Loans,Current Account",Dewas,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17766,",Credit Card,Trading Account",Pune,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17767,,Dildarnagar,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable - Wishfin,Deal4loans,NC
17768,"Savings Account ,",Dhar,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17769,"Savings Account ,",Chennai,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
17770,"Savings Account ,",Sirsa,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
17771,",Loans,Current Account",Noida,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17772,",Credit Card",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17773,,Udupi,Not Contactable-Ringing No Response,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Competitors-facebook,NC
17774,,Jaipur,Not Contactable-Busy,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17775,",Credit Card",Lucknow,Not Contactable-Ringing No Response,Savings Account-6 percent,Search_PAN_India_Core_Yes_Insta_Mobile_Exact_New_LP-google,NC
17776,",Current Account",Kangra,Not Contactable-Busy,Savings Account-6 percent,Yes_Bank_WC_Savings_Account_Competitors-facebook,NC
17777,,North Goa,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Core_Yes_Insta_Mobile_BMM_New_LP-google,NC
17778,,Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17779,",Credit Card,Current Account,Trading Account",Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,NC
17780,"Business Credit Cards, Savings Account ,",Bangalore,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_B2B,NC
17781,"Savings Account ,",Bangalore,Customer Disconnected,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,Customer Disconnected
17782,,Chennai,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17783,,Anand,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17784,"Savings Account ,",Patna,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
17785,,Pune,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
17786,"Business Loan,",Bangalore,Customer Disconnected,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,Customer Disconnected
17787,",Credit Card",Kolhapur,Customer Disconnected,Savings Account customizable,Search_PAN_India_Core_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
17788,Saving Account,Amritsar,Customer Disconnected,Savings Account customizable,mailer_Dangleads_6percent_SA-affiliate,Customer Disconnected
17789,,Coimbatore,Not Contactable-Language Barrier,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
17790,",Trading Account",Fatehgarh,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Core_Yes_Insta_Mobile_BMM_New_LP-google,Customer Disconnected
17791,Saving Account,Bijapur,Not Contactable-Language Barrier,Savings Account-70 percent,Search_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,NC
